gene_symbol,sex,nAcc_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
A1BG,male,+,0.08808110153808775,0.044040550769043875,0.9559594492309561,1,0.08808110153808775
A1CF,male,+,0.5105102545630877,0.25525512728154387,0.7447448727184561,1,0.5105102545630877
A2M,male,+,0.5170401160047926,0.2585200580023963,0.7414799419976037,1,0.5170401160047926
A2ML1,male,+,0.5170996291770829,0.2585498145885414,0.7414501854114586,1,0.5170996291770829
A2MP1,male,+,0.8475228893754441,0.42376144468772203,0.576238555312278,1,0.8475228893754441
A3GALT2,male,+,0.20484594140541476,0.10242297070270738,0.8975770292972926,1,0.20484594140541476
A4GALT,male,+,0.0016713028811693239,8.356514405846619e-4,0.9991643485594153,1,0.0016713028811693239
A4GNT,male,-,0.9472940431814318,0.5263529784092841,0.4736470215907159,-1,0.9472940431814318
AAAS,male,+,0.12892951915045392,0.06446475957522696,0.935535240424773,1,0.12892951915045392
AACS,male,+,0.6887125162170096,0.3443562581085048,0.6556437418914952,1,0.6887125162170096
AACSP1,male,+,0.4310848573111131,0.21554242865555656,0.7844575713444435,1,0.4310848573111131
AADAC,male,-,0.9089870470068009,0.5455064764965996,0.45449352350340044,-1,0.9089870470068009
AADACL2,male,+,0.22973514395461367,0.11486757197730683,0.8851324280226931,1,0.22973514395461367
AADACL3,male,+,0.3425619788427099,0.17128098942135495,0.828719010578645,1,0.3425619788427099
AADACL4,male,-,0.6126951911831975,0.6936524044084013,0.30634759559159874,-1,0.6126951911831975
AADACP1,male,+,0.5135423373974723,0.2567711686987362,0.7432288313012638,1,0.5135423373974723
AADAT,male,+,0.7188769419961079,0.3594384709980539,0.6405615290019461,1,0.7188769419961079
AAED1,male,+,0.09848738151107539,0.049243690755537695,0.9507563092444623,1,0.09848738151107539
AAGAB,male,-,0.17455499894775073,0.9127225005261246,0.08727749947387536,-1,0.17455499894775073
AAK1,male,-,0.684926235240389,0.6575368823798056,0.3424631176201945,-1,0.684926235240389
AAMDC,male,+,0.05496477815190643,0.027482389075953215,0.9725176109240468,1,0.05496477815190643
AAMP,male,+,0.6835405300066466,0.3417702650033233,0.6582297349966767,1,0.6835405300066466
AANAT,male,+,0.03308854863736313,0.016544274318681565,0.9834557256813184,1,0.03308854863736313
AAR2,male,-,0.7091154288553696,0.6454422855723152,0.3545577144276848,-1,0.7091154288553696
AARD,male,+,0.1311215150054933,0.06556075750274665,0.9344392424972534,1,0.1311215150054933
AARS,male,-,0.14066966518478174,0.9296651674076091,0.07033483259239087,-1,0.14066966518478174
AARS2,male,-,0.7229346546946117,0.6385326726526941,0.36146732734730586,-1,0.7229346546946117
AARSD1,male,+,0.23686530534651143,0.11843265267325571,0.8815673473267444,1,0.23686530534651143
AARSP1,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
AASDH,male,+,0.49743125833827295,0.24871562916913648,0.7512843708308635,1,0.49743125833827295
AASDHPPT,male,-,0.1537191427328842,0.9231404286335578,0.0768595713664421,-1,0.1537191427328842
AASS,male,-,0.2860150886205368,0.8569924556897316,0.1430075443102684,-1,0.2860150886205368
AATF,male,+,0.6069832722324706,0.3034916361162353,0.6965083638837647,1,0.6069832722324706
AATK,male,+,0.6128545383914068,0.3064272691957034,0.6935727308042966,1,0.6128545383914068
AATK-AS1,male,-,0.11408769704049455,0.9429561514797526,0.05704384852024728,-1,0.11408769704049455
AB019438.66,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
AB019441.29,male,+,0.020994094858795543,0.010497047429397771,0.9895029525706022,1,0.020994094858795543
ABAT,male,-,0.16584103551647428,0.9170794822417628,0.08292051775823714,-1,0.16584103551647428
ABBA01000934.1,male,-,0.936079425521487,0.5319602872392565,0.4680397127607435,-1,0.936079425521487
ABC12-47043100G14.2,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
ABC12-47964100C23.1,male,+,0.7827135517794105,0.39135677588970524,0.6086432241102948,1,0.7827135517794105
ABC13-47488600E17.1,male,+,0.8553538978978277,0.42767694894891384,0.5723230510510862,1,0.8553538978978277
ABC13-47656900H15.1,male,+,0.8984779004801965,0.44923895024009824,0.5507610497599018,1,0.8984779004801965
ABC13-48559800H2.1,male,-,0.1570686214242544,0.9214656892878729,0.0785343107121272,-1,0.1570686214242544
ABC13-48559800H2.2,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
ABC14-864958H18.2,male,+,0.5296698984850097,0.26483494924250484,0.7351650507574952,1,0.5296698984850097
ABC7-42391500H16.4,male,+,0.46894083895182204,0.23447041947591102,0.7655295805240889,1,0.46894083895182204
ABC7-42404400C24.1,male,+,0.8458159337970601,0.42290796689853005,0.57709203310147,1,0.8458159337970601
ABC7-42418200C9.1,male,+,0.42254595827122865,0.21127297913561432,0.7887270208643857,1,0.42254595827122865
ABC7-481722F1.1,male,-,0.8473446982232943,0.5763276508883528,0.42367234911164714,-1,0.8473446982232943
ABC8-43014700C16.1,male,+,0.5294235581688393,0.2647117790844197,0.7352882209155803,1,0.5294235581688393
ABC9-43961700F1.1,male,+,0.7128084725614316,0.3564042362807158,0.6435957637192842,1,0.7128084725614316
ABCA1,male,-,0.10341196071860737,0.9482940196406964,0.05170598035930368,-1,0.10341196071860737
ABCA10,male,+,0.10378282700032465,0.051891413500162326,0.9481085864998376,1,0.10378282700032465
ABCA11P,male,-,0.12023069635706135,0.9398846518214693,0.060115348178530675,-1,0.12023069635706135
ABCA12,male,-,0.36366871929244804,0.818165640353776,0.18183435964622402,-1,0.36366871929244804
ABCA13,male,+,0.5981827376666088,0.2990913688333044,0.7009086311666957,1,0.5981827376666088
ABCA17P,male,+,0.7942926208865696,0.3971463104432848,0.6028536895567151,1,0.7942926208865696
ABCA2,male,+,0.7904339128384695,0.39521695641923477,0.6047830435807653,1,0.7904339128384695
ABCA3,male,-,0.6861479322535162,0.6569260338732419,0.3430739661267581,-1,0.6861479322535162
ABCA4,male,+,0.3825622525989463,0.19128112629947314,0.8087188737005269,1,0.3825622525989463
ABCA5,male,-,0.01417835396282724,0.9929108230185864,0.00708917698141362,-1,0.01417835396282724
ABCA6,male,+,0.05452796139085529,0.027263980695427646,0.9727360193045724,1,0.05452796139085529
ABCA7,male,+,0.20435519312989936,0.10217759656494968,0.8978224034350504,1,0.20435519312989936
ABCA8,male,-,0.6327551997112169,0.6836224001443916,0.3163775998556084,-1,0.6327551997112169
ABCA9,male,+,0.172991950799002,0.086495975399501,0.9135040246004991,1,0.172991950799002
ABCB1,male,+,0.4014349248971175,0.20071746244855876,0.7992825375514412,1,0.4014349248971175
ABCB10,male,-,0.21923543242065063,0.8903822837896747,0.10961771621032532,-1,0.21923543242065063
ABCB10P1,male,+,0.0668318262592052,0.0334159131296026,0.9665840868703974,1,0.0668318262592052
ABCB10P3,male,-,0.9913573327794611,0.5043213336102694,0.49567866638973057,-1,0.9913573327794611
ABCB10P4,male,-,0.4469206185845953,0.7765396907077023,0.22346030929229765,-1,0.4469206185845953
ABCB11,male,-,0.8337780538864157,0.5831109730567922,0.41688902694320784,-1,0.8337780538864157
ABCB4,male,+,0.07291210764308874,0.03645605382154437,0.9635439461784556,1,0.07291210764308874
ABCB5,male,+,0.19444448871771924,0.09722224435885962,0.9027777556411404,1,0.19444448871771924
ABCB6,male,-,0.20838184031508256,0.8958090798424587,0.10419092015754128,-1,0.20838184031508256
ABCB7,male,-,0.04650218570884622,0.9767489071455768,0.02325109285442311,-1,0.04650218570884622
ABCB8,male,-,0.8851823751158001,0.5574088124420999,0.44259118755790006,-1,0.8851823751158001
ABCB9,male,+,0.3370293024612795,0.16851465123063974,0.8314853487693603,1,0.3370293024612795
ABCC1,male,-,0.21000085564794102,0.8949995721760295,0.10500042782397051,-1,0.21000085564794102
ABCC10,male,+,0.22712476399268267,0.11356238199634133,0.8864376180036586,1,0.22712476399268267
ABCC11,male,-,0.8812955046899295,0.5593522476550352,0.4406477523449647,-1,0.8812955046899295
ABCC12,male,-,0.8496910695138651,0.5751544652430675,0.42484553475693254,-1,0.8496910695138651
ABCC13,male,+,0.4458126474871682,0.2229063237435841,0.7770936762564159,1,0.4458126474871682
ABCC2,male,+,0.5086223439515098,0.2543111719757549,0.7456888280242451,1,0.5086223439515098
ABCC3,male,+,0.013026877333696315,0.006513438666848157,0.9934865613331518,1,0.013026877333696315
ABCC4,male,+,0.9547000225220732,0.4773500112610366,0.5226499887389634,1,0.9547000225220732
ABCC5,male,-,0.0600866209003936,0.9699566895498032,0.0300433104501968,-1,0.0600866209003936
ABCC6,male,+,0.014496701554025467,0.007248350777012733,0.9927516492229872,1,0.014496701554025467
ABCC6P1,male,+,0.9633907005993216,0.4816953502996608,0.5183046497003392,1,0.9633907005993216
ABCC6P2,male,+,0.6203113727337761,0.31015568636688806,0.6898443136331119,1,0.6203113727337761
ABCC8,male,+,0.34472780251422497,0.17236390125711248,0.8276360987428875,1,0.34472780251422497
ABCC9,male,+,0.21182920086071474,0.10591460043035737,0.8940853995696426,1,0.21182920086071474
ABCD1,male,+,0.36481997255248766,0.18240998627624383,0.8175900137237562,1,0.36481997255248766
ABCD1P2,male,+,0.3992016919461905,0.19960084597309524,0.8003991540269048,1,0.3992016919461905
ABCD1P3,male,+,0.7361907680498159,0.36809538402490793,0.6319046159750921,1,0.7361907680498159
ABCD1P4,male,+,0.717250270406636,0.358625135203318,0.6413748647966819,1,0.717250270406636
ABCD1P5,male,-,0.5115014229738026,0.7442492885130987,0.2557507114869013,-1,0.5115014229738026
ABCD2,male,-,0.2429753710856796,0.8785123144571603,0.1214876855428398,-1,0.2429753710856796
ABCD3,male,-,0.12469851530452575,0.9376507423477372,0.062349257652262874,-1,0.12469851530452575
ABCD4,male,+,0.6324487633529339,0.31622438167646694,0.6837756183235331,1,0.6324487633529339
ABCE1,male,-,0.01322745111084636,0.9933862744445768,0.00661372555542318,-1,0.01322745111084636
ABCF1,male,+,0.6560133047536225,0.32800665237681126,0.6719933476231887,1,0.6560133047536225
ABCF2,male,-,0.04042790438129603,0.979786047809352,0.020213952190648015,-1,0.04042790438129603
ABCF2P1,male,-,0.9839985825963369,0.5080007087018316,0.49199929129816844,-1,0.9839985825963369
ABCF2P2,male,+,0.5688646666020447,0.28443233330102236,0.7155676666989776,1,0.5688646666020447
ABCF3,male,-,0.6795634658283816,0.6602182670858092,0.3397817329141908,-1,0.6795634658283816
ABCG1,male,-,0.23362994917456914,0.8831850254127154,0.11681497458728457,-1,0.23362994917456914
ABCG2,male,+,0.7303301309756812,0.3651650654878406,0.6348349345121593,1,0.7303301309756812
ABCG4,male,-,0.521618542221456,0.7391907288892721,0.260809271110728,-1,0.521618542221456
ABCG5,male,-,0.8181621589552146,0.5909189205223927,0.4090810794776073,-1,0.8181621589552146
ABCG8,male,-,0.2098664497645308,0.8950667751177346,0.1049332248822654,-1,0.2098664497645308
ABHD1,male,+,0.12156617395129138,0.06078308697564569,0.9392169130243543,1,0.12156617395129138
ABHD10,male,-,0.2416905555426504,0.8791547222286749,0.1208452777713252,-1,0.2416905555426504
ABHD11,male,+,0.12276994633686784,0.06138497316843392,0.9386150268315661,1,0.12276994633686784
ABHD12,male,+,0.9203338586817359,0.46016692934086795,0.5398330706591321,1,0.9203338586817359
ABHD12B,male,+,0.2119218869930498,0.1059609434965249,0.894039056503475,1,0.2119218869930498
ABHD13,male,-,0.05394670853346289,0.9730266457332686,0.026973354266731444,-1,0.05394670853346289
ABHD14A,male,+,0.11026566624553534,0.05513283312276767,0.9448671668772323,1,0.11026566624553534
ABHD14A-ACY1,male,+,0.28581125606089886,0.14290562803044943,0.8570943719695505,1,0.28581125606089886
ABHD14B,male,+,0.09090939222545152,0.04545469611272576,0.9545453038872742,1,0.09090939222545152
ABHD15,male,+,0.8158327145726602,0.4079163572863301,0.59208364271367,1,0.8158327145726602
ABHD16A,male,-,0.5438772180903408,0.7280613909548296,0.2719386090451704,-1,0.5438772180903408
ABHD16B,male,+,0.7164300550343666,0.3582150275171833,0.6417849724828166,1,0.7164300550343666
ABHD17A,male,+,0.12832644845898147,0.06416322422949074,0.9358367757705093,1,0.12832644845898147
ABHD17AP1,male,+,0.6833243475124879,0.34166217375624397,0.658337826243756,1,0.6833243475124879
ABHD17AP3,male,+,0.8793594304755359,0.43967971523776794,0.5603202847622321,1,0.8793594304755359
ABHD17AP4,male,+,0.016155223614720885,0.008077611807360443,0.9919223881926396,1,0.016155223614720885
ABHD17AP5,male,+,0.5665744328667138,0.2832872164333569,0.7167127835666431,1,0.5665744328667138
ABHD17AP6,male,+,0.2426120284594134,0.1213060142297067,0.8786939857702932,1,0.2426120284594134
ABHD17AP7,male,+,0.564174456425427,0.2820872282127135,0.7179127717872865,1,0.564174456425427
ABHD17AP8,male,+,0.485135305486869,0.2425676527434345,0.7574323472565655,1,0.485135305486869
ABHD17AP9,male,+,0.9411296764417996,0.4705648382208998,0.5294351617791002,1,0.9411296764417996
ABHD17B,male,-,0.5579718465128463,0.7210140767435769,0.27898592325642313,-1,0.5579718465128463
ABHD17C,male,-,0.2930497282478128,0.8534751358760936,0.1465248641239064,-1,0.2930497282478128
ABHD18,male,+,0.9684869371547109,0.48424346857735545,0.5157565314226445,1,0.9684869371547109
ABHD2,male,-,0.1684718225258299,0.915764088737085,0.08423591126291495,-1,0.1684718225258299
ABHD3,male,-,0.24102321043397693,0.8794883947830116,0.12051160521698846,-1,0.24102321043397693
ABHD4,male,-,0.5589734167105944,0.7205132916447028,0.2794867083552972,-1,0.5589734167105944
ABHD5,male,-,0.3280566789705641,0.8359716605147179,0.16402833948528206,-1,0.3280566789705641
ABHD6,male,-,0.9339730577671743,0.5330134711164128,0.46698652888358716,-1,0.9339730577671743
ABHD8,male,+,0.3920572623522901,0.19602863117614505,0.803971368823855,1,0.3920572623522901
ABI1,male,-,0.03593450548595825,0.9820327472570209,0.017967252742979126,-1,0.03593450548595825
ABI2,male,-,0.1393861295336437,0.9303069352331781,0.06969306476682186,-1,0.1393861295336437
ABI3,male,+,0.07106758488208767,0.035533792441043835,0.9644662075589562,1,0.07106758488208767
ABI3BP,male,-,0.20529272705508217,0.8973536364724589,0.10264636352754108,-1,0.20529272705508217
ABL1,male,-,0.5033312014988796,0.7483343992505602,0.2516656007494398,-1,0.5033312014988796
ABL2,male,-,0.14185524885928724,0.9290723755703564,0.07092762442964362,-1,0.14185524885928724
ABLIM1,male,-,0.21976490152048092,0.8901175492397596,0.10988245076024046,-1,0.21976490152048092
ABLIM2,male,-,0.42517331048044404,0.787413344759778,0.21258665524022202,-1,0.42517331048044404
ABLIM3,male,-,0.8603753158782014,0.5698123420608994,0.4301876579391007,-1,0.8603753158782014
ABO,male,+,0.1620957311444396,0.0810478655722198,0.9189521344277802,1,0.1620957311444396
ABR,male,-,0.4966039718138838,0.751698014093058,0.2483019859069419,-1,0.4966039718138838
ABRA,male,+,0.04289839960097962,0.02144919980048981,0.9785508001995101,1,0.04289839960097962
ABRACL,male,+,0.5707132368418859,0.28535661842094295,0.714643381579057,1,0.5707132368418859
ABT1,male,+,0.6944210181792808,0.3472105090896404,0.6527894909103595,1,0.6944210181792808
ABT1P1,male,-,0.3386476109269919,0.830676194536504,0.16932380546349596,-1,0.3386476109269919
ABTB1,male,+,0.7396308561770911,0.36981542808854556,0.6301845719114545,1,0.7396308561770911
ABTB2,male,-,0.41316068176781284,0.7934196591160936,0.20658034088390642,-1,0.41316068176781284
AC000041.10,male,+,0.589850868769983,0.2949254343849915,0.7050745656150085,1,0.589850868769983
AC000041.8,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
AC000077.2,male,+,0.7341902267129691,0.36709511335648454,0.6329048866435154,1,0.7341902267129691
AC000078.5,male,-,0.31282775159944654,0.8435861242002767,0.15641387579972327,-1,0.31282775159944654
AC000081.2,male,-,0.6520933431934761,0.6739533284032619,0.32604667159673806,-1,0.6520933431934761
AC000089.3,male,+,0.4461010892664986,0.2230505446332493,0.7769494553667506,1,0.4461010892664986
AC000095.12,male,+,0.12607900932225494,0.06303950466112747,0.9369604953388726,1,0.12607900932225494
AC000095.9,male,-,0.6729164834858912,0.6635417582570544,0.3364582417429456,-1,0.6729164834858912
AC000111.4,male,+,0.5722034818801256,0.2861017409400628,0.7138982590599372,1,0.5722034818801256
AC000111.5,male,-,0.6877122172924951,0.6561438913537525,0.34385610864624755,-1,0.6877122172924951
AC000362.1,male,-,0.87117496606500755,0.5644125169674963,0.4355874830325038,-1,0.87117496606500755
AC000367.1,male,+,0.7087023157083623,0.35435115785418114,0.6456488421458189,1,0.7087023157083623
AC000374.1,male,+,0.9239294389078783,0.46196471945393913,0.5380352805460609,1,0.9239294389078783
AC002056.3,male,+,0.6367462138248972,0.3183731069124486,0.6816268930875514,1,0.6367462138248972
AC002069.5,male,+,0.6249825844538235,0.31249129222691174,0.6875087077730883,1,0.6249825844538235
AC002069.6,male,+,0.3153585295856539,0.15767926479282696,0.8423207352071731,1,0.3153585295856539
AC002075.3,male,+,0.9218443882365766,0.4609221941182883,0.5390778058817117,1,0.9218443882365766
AC002075.4,male,+,0.870989423392474,0.435494711696237,0.564505288303763,1,0.870989423392474
AC002127.2,male,+,0.2961166228549134,0.1480583114274567,0.8519416885725433,1,0.2961166228549134
AC002310.10,male,+,0.521663383237772,0.260831691618886,0.739168308381114,1,0.521663383237772
AC002310.11,male,-,0.33413782754196475,0.8329310862290176,0.16706891377098237,-1,0.33413782754196475
AC002310.13,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
AC002310.17,male,+,0.977595308300049,0.4887976541500245,0.5112023458499755,1,0.977595308300049
AC002314.4,male,+,0.14789495420691065,0.07394747710345533,0.9260525228965446,1,0.14789495420691065
AC002366.3,male,-,0.6078223955715081,0.696088802214246,0.30391119778575404,-1,0.6078223955715081
AC002398.9,male,+,0.13862036244548603,0.06931018122274302,0.930689818777257,1,0.13862036244548603
AC002400.1,male,-,0.10111709567047504,0.9494414521647625,0.05055854783523752,-1,0.10111709567047504
AC002429.4,male,-,0.5249057731132287,0.7375471134433856,0.26245288655661436,-1,0.5249057731132287
AC002429.5,male,+,0.6324099361561648,0.3162049680780824,0.6837950319219176,1,0.6324099361561648
AC002486.2,male,+,0.9328883661467813,0.46644418307339064,0.5335558169266094,1,0.9328883661467813
AC002486.3,male,-,0.7736385732730386,0.6131807133634807,0.3868192866365193,-1,0.7736385732730386
AC002519.6,male,-,0.8593846408057179,0.5703076795971411,0.42969232040285893,-1,0.8593846408057179
AC002523.1,male,-,0.4916529821229445,0.7541735089385277,0.24582649106147225,-1,0.4916529821229445
AC002542.2,male,-,0.018854335434601636,0.9905728322826991,0.009427167717300818,-1,0.018854335434601636
AC002543.2,male,+,0.7982663533662692,0.3991331766831346,0.6008668233168655,1,0.7982663533662692
AC002553.4,male,-,0.9666764840951654,0.5166617579524173,0.4833382420475827,-1,0.9666764840951654
AC002984.2,male,-,0.8705441398813547,0.5647279300593226,0.43527206994067735,-1,0.8705441398813547
AC002985.3,male,+,0.08100223163443981,0.04050111581721991,0.9594988841827801,1,0.08100223163443981
AC003002.4,male,+,0.9135589168494074,0.4567794584247037,0.5432205415752963,1,0.9135589168494074
AC003002.6,male,-,0.3053864461685559,0.8473067769157221,0.15269322308427796,-1,0.3053864461685559
AC003005.4,male,+,0.6826152981063927,0.3413076490531963,0.6586923509468037,1,0.6826152981063927
AC003006.7,male,+,0.6292659371237042,0.3146329685618521,0.6853670314381479,1,0.6292659371237042
AC003045.1,male,-,0.715571329249763,0.6422143353751185,0.3577856646248815,-1,0.715571329249763
AC003080.4,male,-,0.9556980650331077,0.5221509674834461,0.47784903251655386,-1,0.9556980650331077
AC003682.17,male,+,0.5140444974106575,0.25702224870532875,0.7429777512946713,1,0.5140444974106575
AC003958.1,male,+,0.9237573915587544,0.4618786957793772,0.5381213042206228,1,0.9237573915587544
AC003958.6,male,-,0.8852174732508757,0.5573912633745621,0.44260873662543787,-1,0.8852174732508757
AC003973.1,male,+,0.9278479722421895,0.46392398612109476,0.5360760138789052,1,0.9278479722421895
AC003989.3,male,+,0.5506007572121826,0.2753003786060913,0.7246996213939088,1,0.5506007572121826
AC003989.4,male,+,0.7731048311219556,0.3865524155609778,0.6134475844390221,1,0.7731048311219556
AC004004.2,male,-,0.34013702620289654,0.8299314868985517,0.17006851310144827,-1,0.34013702620289654
AC004006.2,male,+,0.6622328128609702,0.3311164064304851,0.6688835935695149,1,0.6622328128609702
AC004019.10,male,+,0.03563725113595089,0.017818625567975446,0.9821813744320246,1,0.03563725113595089
AC004022.7,male,-,0.401149555131745,0.7994252224341275,0.2005747775658725,-1,0.401149555131745
AC004022.8,male,-,0.10899126171350716,0.9455043691432464,0.05449563085675358,-1,0.10899126171350716
AC004057.1,male,+,0.008489386461143177,0.004244693230571589,0.9957553067694285,1,0.008489386461143177
AC004062.2,male,-,0.9232308760405723,0.5383845619797138,0.46161543802028615,-1,0.9232308760405723
AC004066.2,male,-,0.751759031675408,0.624120484162296,0.375879515837704,-1,0.751759031675408
AC004069.1,male,-,0.9310599970488499,0.534470001475575,0.46552999852442495,-1,0.9310599970488499
AC004074.4,male,+,0.7412274241031882,0.3706137120515941,0.6293862879484059,1,0.7412274241031882
AC004076.7,male,+,0.925933615205625,0.4629668076028125,0.5370331923971875,1,0.925933615205625
AC004076.9,male,-,0.38665896607177086,0.8066705169641146,0.19332948303588543,-1,0.38665896607177086
AC004129.7,male,+,0.5105447934033825,0.2552723967016913,0.7447276032983088,1,0.5105447934033825
AC004129.9,male,+,0.9165263128687534,0.4582631564343767,0.5417368435656233,1,0.9165263128687534
AC004158.1,male,+,0.29078154274314505,0.14539077137157252,0.8546092286284275,1,0.29078154274314505
AC004159.1,male,-,0.9483502039193431,0.5258248980403284,0.47417510195967155,-1,0.9483502039193431
AC004231.7,male,-,0.7234797733451745,0.6382601133274127,0.3617398866725873,-1,0.7234797733451745
AC004381.6,male,-,0.12789717456269561,0.9360514127186522,0.06394858728134781,-1,0.12789717456269561
AC004381.8,male,-,0.2843860599136809,0.8578069700431595,0.14219302995684044,-1,0.2843860599136809
AC004383.3,male,-,0.48146174753522153,0.7592691262323892,0.24073087376761076,-1,0.48146174753522153
AC004386.3,male,+,0.91910292877462,0.45955146438731,0.54044853561269,1,0.91910292877462
AC004386.4,male,+,0.008193427336767284,0.004096713668383642,0.9959032863316163,1,0.008193427336767284
AC004453.8,male,+,0.5262558284455512,0.2631279142227756,0.7368720857772244,1,0.5262558284455512
AC004461.4,male,-,0.21975409312953967,0.8901229534352302,0.10987704656476983,-1,0.21975409312953967
AC004556.1,male,-,0.15148160650958528,0.9242591967452073,0.07574080325479264,-1,0.15148160650958528
AC004692.5,male,+,0.24331474581365956,0.12165737290682978,0.8783426270931702,1,0.24331474581365956
AC004754.3,male,+,0.6697596875901581,0.33487984379507907,0.6651201562049209,1,0.6697596875901581
AC004813.1,male,+,0.053828086990040346,0.026914043495020173,0.9730859565049798,1,0.053828086990040346
AC004824.1,male,+,0.25341644673428976,0.12670822336714488,0.8732917766328552,1,0.25341644673428976
AC004824.2,male,+,0.25341644673428976,0.12670822336714488,0.8732917766328552,1,0.25341644673428976
AC004837.3,male,+,0.2729207895269897,0.13646039476349486,0.8635396052365052,1,0.2729207895269897
AC004840.8,male,+,0.5266130935341609,0.26330654676708043,0.7366934532329196,1,0.5266130935341609
AC004854.5,male,+,0.06311270846871224,0.03155635423435612,0.9684436457656439,1,0.06311270846871224
AC004866.1,male,-,0.9043033973140951,0.5478483013429525,0.4521516986570476,-1,0.9043033973140951
AC004866.3,male,-,0.7860286809196476,0.6069856595401761,0.3930143404598238,-1,0.7860286809196476
AC004870.5,male,+,0.008948258698827921,0.004474129349413961,0.9955258706505861,1,0.008948258698827921
AC004893.10,male,-,0.8388831117229378,0.5805584441385311,0.4194415558614689,-1,0.8388831117229378
AC004899.3,male,-,0.555567610147623,0.7222161949261885,0.2777838050738115,-1,0.555567610147623
AC004911.2,male,-,0.5889713848038649,0.7055143075980675,0.29448569240193245,-1,0.5889713848038649
AC004920.2,male,-,0.47579958197331484,0.7621002090133426,0.23789979098665742,-1,0.47579958197331484
AC004938.5,male,+,0.4645585854906701,0.23227929274533504,0.767720707254665,1,0.4645585854906701
AC004941.5,male,-,0.8207517713857034,0.5896241143071483,0.4103758856928517,-1,0.8207517713857034
AC004945.1,male,-,0.5011846557411355,0.7494076721294323,0.25059232787056773,-1,0.5011846557411355
AC004951.5,male,-,0.8366214248279665,0.5816892875860167,0.41831071241398327,-1,0.8366214248279665
AC004953.1,male,+,0.3037732950649115,0.15188664753245576,0.8481133524675443,1,0.3037732950649115
AC004967.7,male,+,0.05118264798762412,0.02559132399381206,0.974408676006188,1,0.05118264798762412
AC004980.10,male,+,0.6172415595184876,0.3086207797592438,0.6913792202407563,1,0.6172415595184876
AC004980.7,male,+,0.24757589163576368,0.12378794581788184,0.8762120541821182,1,0.24757589163576368
AC004980.8,male,+,0.3341699771563341,0.16708498857816706,0.8329150114218329,1,0.3341699771563341
AC004980.9,male,+,0.08182756339441732,0.04091378169720866,0.9590862183027913,1,0.08182756339441732
AC004985.12,male,+,0.29978543669903784,0.14989271834951892,0.8501072816504811,1,0.29978543669903784
AC004987.10,male,-,0.16772740623726354,0.9161362968813682,0.08386370311863177,-1,0.16772740623726354
AC004987.9,male,-,0.34145190144783244,0.8292740492760837,0.17072595072391622,-1,0.34145190144783244
AC005008.3,male,+,0.774318912791941,0.3871594563959705,0.6128405436040295,1,0.774318912791941
AC005014.5,male,-,0.06968990373500165,0.9651550481324992,0.03484495186750083,-1,0.06968990373500165
AC005017.2,male,-,0.22654103268363865,0.8867294836581806,0.11327051634181932,-1,0.22654103268363865
AC005019.2,male,-,0.86956993654071435,0.5652150317296428,0.4347849682703572,-1,0.86956993654071435
AC005033.6,male,-,0.7183741432666322,0.6408129283666839,0.3591870716333161,-1,0.7183741432666322
AC005034.2,male,-,0.3630158893696622,0.8184920553151689,0.1815079446848311,-1,0.3630158893696622
AC005040.3,male,+,0.33711169433685895,0.16855584716842947,0.8314441528315706,1,0.33711169433685895
AC005041.11,male,-,0.022987500814989285,0.9885062495925054,0.011493750407494643,-1,0.022987500814989285
AC005042.1,male,+,0.9484773725800402,0.4742386862900201,0.5257613137099799,1,0.9484773725800402
AC005042.2,male,-,0.18462564592129704,0.9076871770393515,0.09231282296064852,-1,0.18462564592129704
AC005042.3,male,-,0.8532656008467224,0.5733671995766387,0.4266328004233612,-1,0.8532656008467224
AC005077.14,male,-,0.6169662344126916,0.6915168827936542,0.3084831172063458,-1,0.6169662344126916
AC005077.5,male,+,0.6669369304744401,0.33346846523722007,0.6665315347627799,1,0.6669369304744401
AC005077.7,male,-,0.19159904980114736,0.9042004750994262,0.09579952490057368,-1,0.19159904980114736
AC005077.8,male,+,0.6753627555434023,0.33768137777170115,0.6623186222282988,1,0.6753627555434023
AC005086.1,male,+,0.4567815318642068,0.2283907659321034,0.7716092340678966,1,0.4567815318642068
AC005086.2,male,+,0.30414100630082425,0.15207050315041212,0.8479294968495878,1,0.30414100630082425
AC005086.3,male,+,0.25799708315401665,0.12899854157700832,0.8710014584229917,1,0.25799708315401665
AC005094.2,male,-,0.09060434456834147,0.9546978277158293,0.04530217228417074,-1,0.09060434456834147
AC005102.1,male,+,0.29476487469118956,0.14738243734559478,0.8526175626544052,1,0.29476487469118956
AC005105.2,male,-,0.0965135858722322,0.9517432070638838,0.0482567929361161,-1,0.0965135858722322
AC005154.7,male,+,0.18213531718009163,0.09106765859004581,0.9089323414099542,1,0.18213531718009163
