gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TMEM161B-AS1,++++,6.41068e-4,1.318785623612727e-4,0.11350603360273687,1,2.637571247225454e-4
TSGA10,++++,1.63682e-4,0.011173051019300674,0.0036237714335115604,-1,0.007247542867023121
RP11-667K14.3,----,2.20278e-4,0.15167896457622365,2.0023552006680228e-4,-1,4.0047104013360456e-4
CLTCL1,++++,0.001117366,0.009234741716450957,0.01769547123166423,1,0.018469483432901914
RP11-346C20.3,++++,0.001680454,0.002213710533552216,0.09537930894799033,1,0.004427421067104432
FRG1,++++,0.004949529,0.01869878273771771,0.01856305022467721,-1,0.03712610044935442
TRPM1,++++,4.30553e-4,4.071318095778831e-5,0.8789441927777008,1,8.142636191557663e-5
EIF1AY,++++,2.41293e-6,1.853314571884248e-4,0.584749380226293,1,3.706629143768496e-4
RDH16,++++,3.24164e-4,0.06393945923901817,0.009888045359094213,-1,0.019776090718188425
AP003068.23,++++,0.010226513,0.01587490200142824,0.05525903180752505,1,0.03174980400285648
RP11-677M14.7,++--,3.33182e-4,1.9770407634616236e-5,0.9825872406298377,1,3.954081526923247e-5
AHSA2P,++++,0.001588407,0.0062252466000381895,0.11618082527826896,1,0.012450493200076379
ZNF663P,++++,0.002942159,0.09108994193073146,0.009776293581479172,-1,0.019552587162958344
SRPK3,++++,0.006612763,0.21054147596198958,0.0029312612516035445,-1,0.005862522503207089
TCFL5,++++,0.006041642,0.00287085323981256,0.24144526261430493,1,0.00574170647962512
TRPV6,++++,0.005795014,0.0025139238616376054,0.3014077524730544,1,0.005027847723275211
SLC13A4,--+-,1.26386e-4,0.6255971339303725,3.3400866778465624e-4,-1,6.680173355693125e-4
RP5-837J1.4,++++,0.003642817,0.0010767996361747518,0.48032629227878765,1,0.0021535992723495036
LINC00471,++++,3.19741e-4,4.6809892922922565e-4,0.6822486665809635,1,9.361978584584513e-4
PDZD9,++++,0.001992335,0.3185879301376159,0.0025567128080202514,-1,0.005113425616040503
CCDC18-AS1,++++,0.00678725,0.0030532596925999986,0.2375183924611948,1,0.006106519385199997
CLMP,----,8.78953e-4,0.0047690911181825805,0.17545767356299483,1,0.009538182236365161
PTGS2,----,2.67881e-4,0.32010321082815,0.0027158905647991075,-1,0.005431781129598215
LINC01909,++++,2.37637e-4,6.984527870069272e-4,0.6389901473660987,1,0.0013969055740138544
INAFM2,----,0.006520394,0.006226958489966365,0.20599644123018912,1,0.01245391697993273
PI16,++++,0.005665047,0.005978305318847384,0.22072583696089998,1,0.011956610637694768
RANP4,+++-,0.002171759,0.002243004386784274,0.2864167148691328,1,0.004486008773568548
LINC01992,++++,0.023443111,0.04859032055378867,0.04420449846381755,-1,0.0884089969276351
MIR4712,+++-,1.26071e-4,2.276814965629381e-4,0.8602850922754589,1,4.553629931258762e-4
RP1-228P16.1,++++,0.007118629,0.03318811308891544,0.05991595857542899,1,0.06637622617783089
STK31,++++,0.005098567,0.02667265880656111,0.08332849278240922,1,0.05334531761312222
RP11-597D13.8,++-+,3.32513e-4,8.313287606804217e-5,0.9740833877198026,1,1.6626575213608434e-4
GLRA4,++++,0.005947092,0.037419080997835974,0.06441710787855646,1,0.07483816199567195
DUSP5,----,0.006162679,0.11488817438091448,0.02171692356877094,-1,0.04343384713754188
NR4A1,----,7.75511e-5,0.6751169115120406,0.0010021867245370258,-1,0.0020043734490740516
HMGB1P41,++++,0.004135878,0.06233719176182287,0.039209471852923485,-1,0.07841894370584697
CRH,----,8.36069e-4,0.0154301757163216,0.11459738294435652,1,0.0308603514326432
NPTX2,----,0.009780972,0.03879690648119974,0.07797299332280905,1,0.07759381296239948
RP11-259K15.2,+++-,2.1656e-4,3.273519788886284e-4,0.8983755619608357,1,6.547039577772568e-4
GABPB1-AS1,+++-,0.001669497,4.888904152891508e-4,0.8160619349838929,1,9.777808305783016e-4
LINC02226,++++,4.86691e-4,0.0013963572798484666,0.6633317683203857,1,0.0027927145596969333
RNY4P37,++++,0.012813917,0.19960973314528532,0.016878466742695924,-1,0.03375693348539185
DDX55,++++,1.07752e-4,0.8072098359741184,8.429150860827064e-4,-1,0.0016858301721654127
NPAS4,---+,2.11793e-4,0.8107757085044915,8.11295459359169e-4,-1,0.001622590918718338
MMAB,++++,0.008893318,0.03031287858013991,0.12724882316843555,1,0.06062575716027982
CARD14,+++-,0.001777061,0.002680138322102585,0.4849623363784258,1,0.00536027664420517
PARP15,++++,0.008462392,0.03130961048337915,0.13323244010743907,1,0.0626192209667583
LRRFIP2,++++,0.003901368,0.1361791579812038,0.02253696837358343,-1,0.04507393674716686
ZBTB21,----,0.004311606,0.17941248015998512,0.022862268868519914,-1,0.04572453773703983
ZNF30,++++,0.00207997,0.04035914885480265,0.0931526696740105,1,0.0807182977096053
GCDH,--++,1.25616e-4,0.9595410770916951,2.8320545127140503e-4,-1,5.664109025428101e-4
GANC,++++,5.87023e-4,0.004263686672466954,0.4827187607973061,1,0.008527373344933907
FOSL2,----,0.023749959,0.05802170750438017,0.08726564509933733,1,0.11604341500876034
USP9Y,++++,4.94686e-4,0.002460582933209369,0.6574072541232279,1,0.004921165866418738
NOL6,----,0.002443757,0.03631505941023603,0.12183281329002868,1,0.07263011882047206
CCBE1,++--,2.96795e-4,4.83713092042834e-5,0.9978995662566537,1,9.67426184085668e-5
GBP3,++++,0.002975392,6.143958463395844e-4,0.9224929836937034,1,0.0012287916926791687
HSD17B1,+++-,5.59702e-4,0.0031856286510191403,0.5480854544666991,1,0.006371257302038281
KCTD21-AS1,++-+,0.00140702,0.002197017445881741,0.5453761810559985,1,0.004394034891763482
AC006116.22,++++,0.026253144,0.03176945670135372,0.1777002299318465,1,0.06353891340270744
FAM118A,----,0.031729004,0.10238669744154048,0.06219257463218823,-1,0.12438514926437647
RP11-54O15.3,++++,0.001259332,0.20047942553759734,0.019055910856294645,-1,0.03811182171258929
SST,----,0.009127515,0.1204026980798441,0.039995437858168656,-1,0.07999087571633731
LINC00667,++++,0.008639795,0.24859867030297791,0.024432246910185175,-1,0.04886449382037035
ITGAX,++++,0.004399138,0.008127679238493564,0.48601978705244925,1,0.016255358476987128
PTGIS,++++,0.008623127,0.2979850153865432,0.016746305420387624,-1,0.03349261084077525
KIZ,++++,0.001853279,0.03650376404599378,0.15341374715124134,1,0.07300752809198756
KCNQ1OT1,++++,0.001103663,0.027834875664702927,0.1869687522765526,1,0.05566975132940585
PDE4D,----,0.018688896,0.04165461104782882,0.17555057618927475,1,0.08330922209565764
ZNF331,----,0.011892886,0.3724374887048158,0.014444687830702024,-1,0.028889375661404048
CREB3L4,++++,0.005252106,0.018439186968840688,0.2985499640073564,1,0.036878373937681376
SLC4A11,----,8.51621e-4,0.47874149541186006,0.008468509742473181,-1,0.016937019484946362
RP11-403E24.1,++++,9.51498e-4,0.011662980159790184,0.39744595415412215,1,0.02332596031958037
PXN-AS1,+++-,0.005193391,0.013355193694199616,0.27268620434699314,1,0.02671038738839923
EGR2,----,0.001711179,0.24964410362501996,0.01990363624538647,-1,0.03980727249077294
RP11-932O9.7,++++,0.005786564,0.01151642632691336,0.431604522941886,1,0.02303285265382672
APOD,+-++,0.013342548,0.21606004315616695,0.016100698271065722,-1,0.032201396542131444
SAMMSON,++++,0.017193336,0.11706215039772186,0.07185553591850168,-1,0.14371107183700335
NAP1L4P1,++++,0.024250571,0.17735993687902835,0.04384815939046978,-1,0.08769631878093956
SVEP1,++++,0.010835117,0.02625826170168071,0.257335126084445,1,0.05251652340336142
ZNF577,++++,0.030243084,0.2219615838063814,0.04065763294734467,-1,0.08131526589468933
HK2,++--,0.001113167,1.2949548471082777e-4,0.9978933478361096,1,2.5899096942165554e-4
MORN5,+++-,0.002447588,0.04504077939129643,0.07894844717724352,1,0.09008155878259286
SVOPL,+++-,0.007009977,0.015818880344718577,0.16337453706168284,1,0.031637760689437154
TPM3P9,++++,0.0036591,0.025583265452464088,0.2980361349975265,1,0.051166530904928176
RN7SKP204,++-+,0.001054388,0.011382010826136667,0.36915052284831984,1,0.022764021652273335
FLVCR1-DT,++++,0.032584637,0.03484164755637688,0.2681342867214833,1,0.06968329511275376
RP11-692D12.1,+++-,4.02642e-4,0.0010599527048063043,0.9260103725045479,1,0.0021199054096126086
ELN-AS1,----,2.55106e-4,0.008757268427235705,0.4644829672097812,1,0.01751453685447141
RP11-211N8.3,+++-,0.00495667,0.005795273673064175,0.5882190064484281,1,0.01159054734612835
SAMD11,+++-,0.008188436,0.005175573015226096,0.6445457824961442,1,0.010351146030452191
DUSP4,----,0.007261581,0.09069243667135193,0.10122432669481649,1,0.18138487334270387
LCTL,++++,0.010340479,0.12600371076491323,0.07857579490943042,-1,0.15715158981886085
PLA2G4C,++++,0.002909916,0.0073648007723383585,0.6587594852434437,1,0.014729601544676717
NBPF2P,++++,0.04144434,0.149915315758504,0.08027134954270632,-1,0.16054269908541263
PIEZO2,++++,0.006256038,0.014684285795687204,0.4992825620061356,1,0.029368571591374407
ALDH8A1,++++,0.004927793,0.3426602113143413,0.026712016866998606,-1,0.05342403373399721
AC132186.1,++++,0.014386259,0.43351131170626106,0.01990558561010784,-1,0.03981117122021568
ATP5PBP1,+++-,0.009082205,0.01478545575585569,0.4324045336548953,1,0.02957091151171138
RP11-71N10.1,++++,0.002785498,0.008451553285369949,0.643185998332796,1,0.016903106570739897
RP11-343N15.5,+---,0.014841001,0.010322109064774447,0.46726198303514693,1,0.020644218129548895
ADCY10P1,++++,0.006278324,0.0419703250625601,0.26256804776645865,1,0.0839406501251202
CTD-2561J22.2,++++,0.008277528,0.008010399977609628,0.6618871204611322,1,0.016020799955219257
MTPAP,---+,0.006696149,0.6352201215851186,0.006961696040218687,-1,0.013923392080437373
ZNF184,----,0.053358258,0.19684320175018016,0.06505103818071338,-1,0.13010207636142676
RP11-267C16.2,+++-,0.002769526,0.002285254053510519,0.7837341299420298,1,0.004570508107021038
RTCA-AS1,++++,0.023550972,0.020545816462287404,0.4140096698000333,1,0.04109163292457481
HUS1B,++++,0.001233468,0.5414808509458601,0.011035348268884295,-1,0.02207069653776859
RP11-509J21.3,+++-,0.019564632,0.0074809208794666265,0.3016439857466048,1,0.014961841758933253
RP4-564F22.5,++--,0.005416376,6.269050056064655e-4,0.9836591322816111,1,0.001253810011212931
AQP4-AS1,++++,0.003637697,0.04897089768267279,0.14204294585329627,1,0.09794179536534559
THOC2,+-+-,0.002298411,0.15243587329288857,0.03806249823601296,-1,0.07612499647202592
TTPAL,-+--,0.001015714,0.17038763838886023,0.03226014922387591,-1,0.06452029844775183
AC007000.10,+-++,0.005096566,0.265741082781172,0.011681174120421816,-1,0.02336234824084363
AC004019.10,++++,0.010843271,0.007424097067509813,0.6903100566108169,1,0.014848194135019626
KIAA0513,----,0.011387052,0.3956684794783691,0.02080705193797747,-1,0.04161410387595494
AP002954.3,++++,0.005018173,0.04434671539327898,0.23856703975144863,1,0.08869343078655796
CCDC66,+-++,0.004809263,0.08235349640390943,0.08548731266528785,1,0.16470699280781886
FOSB,--+-,0.001839652,0.3734624147183139,0.017471057016856757,-1,0.034942114033713514
EPN2-AS1,++-+,3.68371e-4,0.002327211056298171,0.8479326336427027,1,0.004654422112596342
GOLGA6A,+++-,7.89783e-4,0.004993169665624529,0.7001837870039085,1,0.009986339331249058
CTC-329D1.3,++++,0.031242245,0.029799034509941827,0.36330641583225975,1,0.059598069019883654
RP11-72B4.2,+-++,0.001050676,0.5124459957138702,0.003264042754770203,-1,0.006528085509540406
TPTEP2,+-++,2.10983e-4,0.007305213966195662,0.5357082462182506,1,0.014610427932391324
ST6GALNAC1,++++,0.015975231,0.6798032288503247,0.008471917219507595,-1,0.01694383443901519
PRRG4,-+--,0.001589646,0.20411505307953307,0.04217717617093835,-1,0.0843543523418767
DST,++++,0.004101079,0.008461905924137278,0.6873111258642,1,0.016923811848274555
LRFN5,----,0.006606209,0.27694296766505944,0.04444799071270994,-1,0.08889598142541988
RPLP1P6,++++,0.013870748,0.04431974740876123,0.2841261262867249,1,0.08863949481752247
MAFTRR,++++,0.012263506,0.028321207097509758,0.36655418521834143,1,0.056642414195019516
TMEM9B-AS1,++++,0.026210393,0.24355297087932476,0.05863032562386121,-1,0.11726065124772242
LRRC8C,----,0.021012177,0.3280900718052751,0.03109309447761457,-1,0.06218618895522914
AC010900.2,++++,0.007117054,0.29974925153123155,0.041038187773721736,-1,0.08207637554744347
CCDC144A,++--,0.001349185,7.539013115860348e-6,0.9998914158558598,1,1.5078026231720696e-5
RP11-284M14.1,++++,0.003468363,0.0161981457770194,0.5041164310856155,1,0.0323962915540388
THOC1,++++,0.004665624,0.03905374683289549,0.26328292881719234,1,0.07810749366579098
JUNB,----,0.001521794,0.3228186934467152,0.02956554056447037,-1,0.05913108112894074
CHST14,++++,0.027856453,0.04222425850301776,0.3083359319667744,1,0.08444851700603552
TMEM44-AS1,++++,0.016623964,0.43502859216260525,0.02559253793444868,-1,0.05118507586889736
SNAI1P1,+-++,0.01149159,0.566179605594603,0.00045575185109749126,-1,9.115037021949825e-4
RP11-1055B8.3,++++,0.002651389,0.018306373532860326,0.49965402386425173,1,0.03661274706572065
MYH7B,+-++,0.024217054,0.29252212456594134,0.02390440480569592,-1,0.04780880961139184
SLC25A27,++++,0.011462012,0.10830797259841311,0.1284828745310831,1,0.21661594519682623
PIP5K1B,----,0.049057304,0.06882682474890937,0.22755030739638238,1,0.13765364949781875
ZBED3-AS1,++++,0.015831813,0.0730119619405304,0.20961495080268713,1,0.1460239238810608
RP11-57H12.3,++++,8.6969e-4,0.01346536821097563,0.4981193369251885,1,0.02693073642195126
RP11-250B2.3,++++,0.008606794,0.10596914125198795,0.11583380943866045,1,0.2119382825039759
PP13439,++++,0.004333737,0.02409582550877996,0.4485014322559277,1,0.04819165101755992
MIR548V,++++,0.004972889,0.022180538466704265,0.46402580478933453,1,0.04436107693340853
FSIP2-AS2,++++,0.001700778,0.016317638048938755,0.5339367237902617,1,0.03263527609787751
LINC01422,+++-,0.019091356,0.019353132569906548,0.2858790694008008,1,0.038706265139813095
HM13-IT1,+-++,0.005125756,0.9801315308863707,5.069703340651053e-4,-1,0.0010139406681302105
TTTY14,++++,9.14484e-4,0.02029498790886218,0.4143280121919885,1,0.04058997581772436
MYO6,++++,6.08513e-4,0.0072868284541035165,0.724472062379804,1,0.014573656908207033
CAPN3,++++,0.012722892,0.005194384280869025,0.8353277189062828,1,0.01038876856173805
FNBP4,+-++,0.009621803,0.260466812268139,0.03954994714924201,-1,0.07909989429848402
LAMA1,+++-,0.001715756,0.007425755132280036,0.718092829267909,1,0.014851510264560072
CTB-47B11.3,++++,0.02966342,0.08931694055339497,0.1852621140333337,1,0.17863388110678993
RP11-509J21.2,++++,0.016430417,0.013218972400202658,0.6496883841216845,1,0.026437944800405316
RP11-726G1.1,--+-,0.006110178,0.9470585880533503,0.001810012807883622,-1,0.003620025615767244
AC007875.3,+-+-,7.58895e-4,0.2734775550319986,0.008126671347433924,-1,0.016253342694867848
HTR7P1,--++,0.006159,0.9790916554397396,0.0011539977968478754,-1,0.0023079955936957507
SNORD115-30,+---,0.001033125,0.013581071106908673,0.5237228112440929,1,0.027162142213817346
RGS2,----,0.006053498,0.5613520474861511,0.01866163138647093,-1,0.03732326277294186
MYO1C,+-++,0.003119416,0.6269422493299814,0.002729132284995806,-1,0.005458264569991612
TTC28-AS1,++++,0.014810895,0.13565713093801046,0.11629074649818781,-1,0.23258149299637562
LRRC74B,++++,0.009956217,0.05870649107820241,0.21773721687082168,1,0.11741298215640482
CTD-2260A17.1,++++,0.007478249,0.013814874132367476,0.6275123717719338,1,0.027629748264734952
LYPLAL1,++++,0.001030017,0.009600543692173115,0.6946953476851051,1,0.01920108738434623
RP11-909M7.3,-+--,4.94907e-4,0.41608321312754454,0.016307800352164267,-1,0.032615600704328535
RP11-298D21.1,++++,0.016045653,0.010256630549268167,0.7229971979786944,1,0.020513261098536333
CEP63,++++,0.006913059,0.049444978229362994,0.32473542851163995,1,0.09888995645872599
AQP11,++++,0.045711265,0.04830846057258541,0.3461971606585311,1,0.09661692114517081
MYLK2,++++,0.031859215,0.31864705148371264,0.05595294078994216,-1,0.11190588157988432
ANKRD44-IT1,++--,2.94935e-4,0.001069231388107501,0.9764363040045323,1,0.002138462776215002
ERRFI1,----,0.017079355,0.49372964935286756,0.026128626947782285,-1,0.05225725389556457
RP11-461L13.3,----,0.017601271,0.08529657255549598,0.22175934474760645,1,0.17059314511099197
CLHC1,+++-,0.009700835,0.015003070947693884,0.5822605643531904,1,0.030006141895387767
CTD-2081C10.7,----,0.001013069,0.7731520732465387,0.007496770973508992,-1,0.014993541947017984
RP11-806O11.1,++++,4.24719e-4,0.005945081672179622,0.7774636410236918,1,0.011890163344359245
RP11-116N8.1,+++-,0.006866471,0.0035181951627336564,0.835290278140708,1,0.007036390325467313
RN7SL128P,----,0.030631663,0.058268085896977774,0.2549914720754852,1,0.11653617179395555
IQGAP1,++++,0.010304828,0.10845180176521821,0.1629057710286456,1,0.21690360353043642
RP4-630C24.3,++++,0.017748929,0.020282068765585727,0.5641999667594272,1,0.040564137531171454
ALOX12-AS1,++++,0.024556533,0.04063439229183103,0.3892535096926048,1,0.08126878458366206
RGPD1,++++,0.040862223,0.0982392112851697,0.20811605481979356,1,0.1964784225703394
ARC,----,0.012957421,0.34293330139291833,0.04912250006959571,-1,0.09824500013919142
CPB1,++--,6.3174e-4,5.524710416908146e-4,0.9927213300251372,1,0.0011049420833816291
SLC6A20,----,0.008614404,0.6996685942720495,0.012120682318536635,-1,0.02424136463707327
HHATL,++++,0.007261865,0.019172385543704405,0.5942161663522054,1,0.03834477108740881
RN7SKP189,----,0.006658157,0.4244920665240123,0.03448073353807812,-1,0.06896146707615625
LSP1,---+,0.004623823,0.8942575198514199,0.004198422736197452,-1,0.008396845472394904
CYTH4,++++,0.002469272,0.046587563273566834,0.26736989466758926,1,0.09317512654713367
ARRDC5,++++,0.026367627,0.0696972925242748,0.2773748327326759,1,0.1393945850485496
JOSD1,----,0.005667155,0.5614248479073811,0.021285772391557534,-1,0.04257154478311507
ADAM12,+-++,0.004116908,0.9164676688655111,0.0031952155072417455,-1,0.006390431014483491
LINC01630,++++,0.003563919,0.02428594333039789,0.5201195506893612,1,0.04857188666079578
RP11-849H4.2,++++,0.017850599,0.09037006640614494,0.2228072753485925,1,0.18074013281228987
AMPD3,++++,0.004266699,0.02643879562367975,0.5079077406622371,1,0.0528775912473595
PYCR2,+++-,7.5907e-4,0.0018318548599660354,0.8457087059359135,1,0.003663709719932071
GATAD1,++++,0.002292769,0.008873679375771612,0.7573642098887137,1,0.017747358751543225
RP11-164J13.1,++++,0.008749605,0.047887629631692186,0.30983102303640747,1,0.09577525926338437
LINC00958,++++,0.002487505,0.025444468970920803,0.48825389541714104,1,0.05088893794184161
NIPAL1,---+,0.002924664,0.6556923399576411,0.008515050697284306,-1,0.017030101394568613
LINC00609,+++-,0.004366131,0.002979955064394037,0.8772506402305028,1,0.005959910128788074
BBS2,+++-,0.005478242,0.08770815797001881,0.12029249706079839,1,0.17541631594003762
PRPF38B,++++,0.002738174,0.01324353510951505,0.6521085700483183,1,0.0264870702190301
LINC00284,++++,4.68411e-4,0.9191529415486724,0.0031632706115146533,-1,0.006326541223029307
VN1R83P,++++,0.006840575,0.02506418558436797,0.5249618106442436,1,0.05012837116873594
ACTG1P17,+++-,0.003502803,0.002865493920096841,0.9159868038634937,1,0.005730987840193682
SOX10,+-++,8.13432e-4,0.0332131658855181,0.21400055126554998,1,0.0664263317710362
SCN11A,+++-,0.017535275,0.020614619482803114,0.4662824254130494,1,0.04122923896560623
TPPP3,+++-,0.012355667,0.00395023991910964,0.8383223678651971,1,0.00790047983821928
RN7SL75P,+-++,0.003643841,0.09702796863946321,0.0982064601440648,1,0.19405593727892642
RP11-111F5.4,++--,0.001979684,1.7099872244363885e-4,0.9947921877051857,1,3.419974448872777e-4
ARL5B,----,0.020155841,0.11643687097057454,0.18672766214309222,1,0.23287374194114907
BAZ2B,++++,0.008912763,0.078527408589738,0.2540586477880049,1,0.157054817179476
RP11-49O14.3,+-++,0.00180386,0.6755817128082888,0.007214564840507049,-1,0.014429129681014098
BHLHE41,++-+,0.005542234,0.002363574900530046,0.960279952696038,1,0.004727149801060092
PLCB2,++++,0.027589764,0.24178568473350998,0.07279468511920663,-1,0.14558937023841326
UPF3AP3,++++,0.014598998,0.5108103354823167,0.024370603990311598,-1,0.048741207980623195
RN7SL284P,----,0.001138516,0.6324103009009708,0.015388325337460713,-1,0.030776650674921427
ALMS1-IT1,+++-,0.033685337,0.049670748421296713,0.30356944988476703,1,0.09934149684259343
RP11-530N7.3,++++,0.031575013,0.06627958716157037,0.2787435471440649,1,0.13255917432314074
AGGF1P3,+-++,0.017004737,0.21016620555466264,0.07638257002295862,-1,0.15276514004591724
LCMT1-AS1,+-++,0.004812442,0.9772821940290886,8.522620302348631e-4,-1,0.0017045240604697262
RP5-890O3.9,+-++,0.01255134,0.16580743870072367,0.103672915638534,-1,0.207345831277068
RP11-350G24.2,++++,0.005172191,0.05218729871861165,0.35566230529668347,1,0.1043745974372233
UBASH3B,-+--,0.013397372,0.039121435512650446,0.22704287337231094,1,0.07824287102530089
CPVL,--+-,0.011317101,0.1927276657992605,0.0778971661316848,-1,0.1557943322633696
TRIB2,---+,0.012802278,0.23718580096464764,0.006592105301498412,-1,0.013184210602996824
NEDD9,---+,0.004340521,0.5107530432060239,0.02029263865271568,-1,0.04058527730543136
CEP152,++++,0.002803222,0.04413291703796788,0.3545641309682968,1,0.08826583407593576
MICALL2,++++,0.005340717,0.38329985573520087,0.0379401916936538,-1,0.0758803833873076
LRRC4,---+,0.00586899,0.9840922317489644,9.639818409773981e-4,-1,0.0019279636819547962
FBXO43,++++,0.018337453,0.06741949126860838,0.29228089828297543,1,0.13483898253721677
PHF24,---+,0.020920588,0.7105627316022196,0.003674552457615842,-1,0.007349104915231684
SRL,----,0.006744504,0.06103500345765375,0.3227905901737395,1,0.1220700069153075
ZNF404,++++,0.010034968,0.5405312189665736,0.02995518180057085,-1,0.0599103636011417
SLC2A3,----,0.006820315,0.6577969280565534,0.019003467418346003,-1,0.038006934836692007
RPP21,++++,0.00973785,0.0596132022156721,0.26506936768173106,1,0.1192264044313442
S100PBP,+++-,0.025309064,0.018951499866169178,0.5186050015467787,1,0.037902999732338356
PDE4C,--+-,0.00293972,0.9240032695195317,0.002027549078498345,-1,0.00405509815699669
OSTCP8,+-++,5.30351e-4,0.022298257137143833,0.26258892896123215,1,0.044596514274287666
AL591069.1,---+,0.021587452,0.39542927792300514,0.02528548450231815,-1,0.0505709690046363
ELMOD3,++++,0.041432577,0.12239354992614063,0.20163066145896355,1,0.24478709985228125
CDKL3,++++,0.005869911,0.011485104877492129,0.7596833638885383,1,0.022970209754984258
ZNF600,++++,0.026017011,0.042562846679318714,0.4264981581613628,1,0.08512569335863743
SNORD115-18,----,0.028372578,0.18595108403801736,0.12929897025906684,-1,0.2585979405181337
GPR19,----,0.003563828,0.3206885133756001,0.0511126392476173,-1,0.1022252784952346
RP11-1020A11.2,++++,0.07317103,0.13330127842295728,0.2031496813350388,1,0.26660255684591455
NLRP2B,++++,0.01433312,0.12794719316132636,0.14962275568194372,1,0.2558943863226527
ZNF90,++++,0.011849053,0.02836018874116741,0.5708692821189787,1,0.05672037748233482
KRT18P6,++++,0.021722941,0.12049203499034421,0.2117108302589168,1,0.24098406998068841
WDR92,+-++,8.81432e-4,0.5697970752693942,0.014497980684913366,-1,0.028995961369826732
MLKL,++++,0.025299669,0.04500701148780805,0.4579536101346629,1,0.0900140229756161
ZNF304,----,0.055737827,0.06043231874980596,0.37307789404841857,1,0.12086463749961192
CTD-2035E11.5,++++,0.073796314,0.1930343608001292,0.1434654938462168,-1,0.2869309876924336
DNAL4,----,0.004331601,0.48763750826210145,0.031069313183188996,-1,0.06213862636637799
ODC1-DT,++++,0.002812013,0.3728722200584513,0.046554444934024546,-1,0.09310888986804909
RANP8,++++,0.030753997,0.062156803018537064,0.37204304920745873,1,0.12431360603707413
MCM9,+-++,0.001795343,0.8445103103234112,0.005259192528015766,-1,0.010518385056031532
NCKAP5,++++,0.011425268,0.051006971855303,0.42104119150024844,1,0.102013943710606
ZNF732,++++,0.008859519,0.5341206598577299,0.029855231843007996,-1,0.05971046368601599
AC034228.4,++++,0.015375694,0.03565431634129815,0.47409928410789154,1,0.0713086326825963
KMO,---+,0.013332938,0.7720404638391779,0.008782501553929376,-1,0.017565003107858752
REXO4,--++,0.008529158,0.9822769551484758,0.0016370050310102518,-1,0.0032740100620205037
RP11-536C5.7,----,0.01354787,0.06432772797725336,0.3127831966333389,1,0.12865545595450673
PRPSAP2,++--,2.27577e-4,0.0018880163559504579,0.9536101945449619,1,0.0037760327119009157
C12orf60,++--,0.00136315,0.0023360902883902816,0.9700414560528335,1,0.004672180576780563
NBPF14,-+++,0.011181127,0.8932039205605177,0.003783839936101559,-1,0.007567679872203118
BTN2A3P,++++,0.075932229,0.10969229536830719,0.2590943296632931,1,0.21938459073661437
LATS2,+++-,6.73417e-4,6.394416047518914e-4,0.9687598996501144,1,0.0012788832095037828
STK24,----,0.029649537,0.29806126215444406,0.08481792681218336,-1,0.16963585362436673
SELENOK,----,0.005020403,0.6171233325349249,0.024956228334505608,-1,0.049912456669011215
YWHAZP3,----,0.016902069,0.13143938236982494,0.17607631824003225,1,0.2628787647396499
DONSON,++++,0.018939796,0.06536126267899549,0.3379695020438476,1,0.13072252535799098
RP11-10K16.1,++-+,0.00318476,0.0017431478241479764,0.9472815867257377,1,0.003486295648295953
UBL7-AS1,++++,0.030711991,0.053825283381927144,0.42266340044690276,1,0.10765056676385429
RP11-18H7.1,++++,0.007543439,0.01755596924232584,0.6991525103295677,1,0.03511193848465168
PLXND1,+-++,0.027978088,0.3442726880065605,0.022949048915939303,-1,0.045898097831878606
SIK1,----,0.001941142,0.6324738877269657,0.019334734359805292,-1,0.038669468719610585
IER5L,+---,0.001721542,0.21494810322255956,0.04243433726436708,-1,0.08486867452873416
SERPINI2,+++-,0.02814333,0.020160611712577384,0.3513086494906515,1,0.04032122342515477
ZNF621,++++,0.057141101,0.17806425870168832,0.16728547218867906,-1,0.3345709443773581
CCNB3,++-+,0.015972573,0.007854078950998258,0.845456843361267,1,0.015708157901996516
SILC1,++++,0.051980731,0.2013589182088313,0.1468581876729611,-1,0.2937163753459222
RP11-61E11.2,----,0.011631942,0.28477595128197875,0.0907308450163004,-1,0.1814616900326008
XXbac-B476C20.9,++-+,0.00471111,0.006896385537673609,0.8749135358928718,1,0.013792771075347219
CTD-2555O16.4,++++,0.034428739,0.27964558272234324,0.10432297722654434,-1,0.20864595445308867
MRPL2,++++,0.02311486,0.18123112043264525,0.15463740307150228,-1,0.30927480614300457
RN7SKP79,-+-+,0.004499602,0.0557090718727065,0.17118459298571603,1,0.111418143745413
INPP5D,++++,0.02310365,0.06881547124710985,0.3618872840466057,1,0.1376309424942197
DPPA4,----,0.005009498,0.5760937762115479,0.026168144972376836,-1,0.05233628994475367
LINC00467,+++-,0.003968733,0.00180852741220208,0.9146552937213912,1,0.00361705482440416
FAM160A1,--+-,0.001171402,0.7982991485039831,0.006721525294713564,-1,0.013443050589427128
HKDC1,++++,0.012353223,0.020118466179952853,0.6892192705336662,1,0.040236932359905705
LINC02249,++++,0.043027409,0.258624801166772,0.1005292235543682,-1,0.2010584471087364
LINC01498,----,0.035391247,0.029647750382098104,0.6025809053063852,1,0.05929550076419621
MTND5P2,----,0.001446808,0.026246175944482242,0.5408697034928936,1,0.052492351888964485
